Route_ID,Company Name,Origin,Destination,Current_Route_Distance,Optimized_Route_Distance,Current_Emissions,Optimized_Emissions,Estimated_Time_Saved,Estimated_Cost_Savings,Vehicle_Capacity_Utilization
RT-021,John Keells Logistics,Hambantota,Sydney,1783.14,1732.58,72.51,69.52,0.84,126.24,94.93
RT-022,Union Assurance,Galle,Doha,2274.19,1947.03,73.77,95.68,5.59,610.27,92.64
RT-023,DHL Keells,Colombo,Chennai,3726.23,3435.77,114.29,160.79,4.55,497.37,85.63
RT-024,Walkers Tours,Katunayake,Dubai,3096.82,2637.46,113.92,97.22,7.16,1112.79,83.96
RT-025,John Keells Properties,Colombo,Shanghai,888.28,845.23,39.78,36.91,0.66,92.98,82.5
RT-026,Cinnamon Hotels & Resorts,Katunayake,Singapore,505.83,445.55,15.84,15.4,1.07,163.18,92.44
RT-027,DHL Keells,Trincomalee,Doha,624.6,601.9,29.47,28.08,0.32,61.2,91.65
RT-028,Mackinnons Travels,Koggala,Shanghai,3068.48,2799.73,148.53,125.54,4.11,676.26,93.04
RT-029,John Keells Properties,Hambantota,Doha,852.15,814.12,39.87,34.55,0.6,107.47,87.86
RT-030,Union Assurance,Trincomalee,Sydney,4633.83,4306.33,184.52,147.37,6.27,731.97,87.47
RT-031,Mackinnons Travels,Hambantota,Dubai,1184.73,1086.83,37.89,51.85,1.84,176.33,94.21
RT-032,Walkers Tours,Katunayake,Dubai,2844.51,2457.35,116.19,106.39,6.66,939.98,89.69
RT-033,Lanka Marine Services,Galle,Chennai,3343.2,2969.92,131.04,104.1,7.24,947.71,94.27
RT-034,Lanka Marine Services,Hambantota,Shanghai,2131.15,1941.38,91.53,87.8,2.85,560.02,94.77
RT-035,John Keells Logistics,Katunayake,Dubai,4754.59,4512.75,201.59,142.54,3.63,464.53,85.38
RT-036,Keells Food Products,Colombo,Doha,585.58,569.93,22.54,20.96,0.29,24.38,87.31
RT-037,Lanka Marine Services,Koggala,Singapore,4448.0,4009.27,148.75,183.46,6.87,1100.6,90.92
RT-038,DHL Keells,Hambantota,Dubai,4430.16,4328.96,206.18,173.38,1.52,292.25,91.17
RT-039,DHL Keells,Katunayake,Chennai,2766.99,2665.32,97.74,108.29,1.97,170.48,80.95
RT-040,John Keells Properties,Galle,Tokyo,2709.97,2624.08,89.43,129.1,1.67,241.07,88.13
RT-041,DHL Keells,Trincomalee,Chennai,2190.87,2062.78,74.52,102.73,2.55,358.61,82.85
RT-042,DHL Keells,Koggala,Jakarta,3701.07,3219.28,165.18,101.06,9.1,813.57,86.05
RT-043,Union Assurance,Koggala,Chennai,4639.48,4342.97,207.98,144.55,5.7,863.55,81.4
RT-044,Mackinnons Travels,Koggala,Shanghai,1817.64,1634.61,85.88,62.88,2.83,476.3,91.87
RT-045,Lanka Marine Services,Katunayake,London,3679.11,3250.25,128.08,111.65,6.46,1022.54,90.86
RT-046,Mackinnons Travels,Koggala,Jakarta,4299.3,4143.69,136.5,200.33,2.22,342.69,82.81
RT-047,Lanka Marine Services,Colombo,London,1966.34,1912.52,89.33,67.55,0.8,154.28,81.34
RT-048,Keells Food Products,Galle,London,1886.02,1680.33,75.23,78.38,3.07,361.31,85.07
RT-049,Walkers Tours,Galle,Sydney,502.83,434.34,16.22,20.73,1.02,132.86,87.05
RT-050,Cinnamon Hotels & Resorts,Hambantota,Shanghai,3367.17,2863.13,107.54,128.58,9.97,922.35,94.15
RT-051,Keells Food Products,Koggala,Sydney,4736.5,4464.23,163.96,202.12,4.31,787.9,89.93
RT-052,Keells Supermarkets,Galle,Tokyo,2536.53,2219.86,81.93,88.18,6.2,654.17,86.14
RT-053,Mackinnons Travels,Katunayake,Doha,2776.2,2684.77,95.82,127.67,1.69,174.09,91.03
RT-054,Keells Food Products,Trincomalee,London,1390.7,1343.87,46.54,44.78,0.67,77.08,94.43
RT-055,Union Assurance,Hambantota,Sydney,2419.43,2218.64,95.31,70.49,3.87,511.14,80.55
RT-056,DHL Keells,Trincomalee,Dubai,2810.5,2451.43,87.47,89.35,5.57,1058.19,83.18
RT-057,Union Assurance,Hambantota,Mumbai,2017.65,1951.59,70.02,76.58,1.01,191.84,90.48
RT-058,DHL Keells,Katunayake,Tokyo,1073.46,994.98,48.38,49.12,1.13,230.2,91.25
RT-059,John Keells Logistics,Katunayake,Doha,4919.64,4766.25,211.38,206.7,2.93,325.9,89.35
RT-060,Walkers Tours,Katunayake,Mumbai,3365.28,2868.76,150.88,86.65,7.61,1316.53,83.65
RT-061,John Keells Properties,Katunayake,Chennai,3621.02,3472.69,178.58,115.68,2.44,379.19,88.78
RT-062,John Keells Properties,Colombo,Dubai,671.54,579.22,21.35,23.94,1.71,161.59,87.2
RT-063,John Keells Properties,Katunayake,Dubai,3542.26,3146.11,161.42,141.33,7.26,1028.37,83.89
RT-064,DHL Keells,Colombo,Chennai,2029.77,1778.74,74.43,53.66,3.69,526.69,82.84
RT-065,Walkers Tours,Trincomalee,Mumbai,1535.72,1333.77,73.57,59.39,3.42,372.45,82.14
RT-066,Keells Supermarkets,Galle,Shanghai,4444.05,4196.0,140.52,141.91,4.23,392.14,81.2
RT-067,Walkers Tours,Trincomalee,London,700.8,631.76,30.67,31.32,1.16,169.0,83.76
RT-068,Union Assurance,Katunayake,Doha,903.11,844.16,33.13,26.31,0.93,118.66,93.67
RT-069,Lanka Marine Services,Galle,Shanghai,2133.32,1921.22,83.19,80.6,3.05,357.21,85.76
RT-070,John Keells Properties,Galle,Dubai,1297.6,1268.78,57.03,43.66,0.45,50.32,93.77
RT-071,John Keells Properties,Trincomalee,Tokyo,3450.3,2970.98,151.86,90.42,7.09,1350.35,89.35
RT-072,Lanka Marine Services,Colombo,Tokyo,2844.07,2687.55,93.51,110.54,2.5,459.34,90.61
RT-073,Keells Food Products,Trincomalee,Dubai,1950.76,1872.05,95.52,87.72,1.35,197.05,87.97
RT-074,Mackinnons Travels,Galle,Sydney,2495.28,2169.64,111.67,105.27,4.75,501.49,90.71
RT-075,Union Assurance,Koggala,Sydney,3476.07,3371.8,113.94,138.17,1.55,226.79,84.1
RT-076,Cinnamon Hotels & Resorts,Hambantota,Jakarta,1403.51,1276.75,47.48,42.82,2.31,277.17,81.39
RT-077,John Keells Logistics,Colombo,Singapore,1675.06,1476.2,71.04,59.88,3.48,337.43,81.31
RT-078,Keells Food Products,Trincomalee,Singapore,4459.97,4339.93,180.69,153.5,1.93,186.68,83.93
RT-079,Mackinnons Travels,Katunayake,Singapore,1896.59,1730.71,58.81,85.19,3.3,275.31,88.98
RT-080,Cinnamon Hotels & Resorts,Hambantota,Jakarta,4301.03,3750.47,186.14,130.42,8.29,873.46,88.31
RT-081,John Keells Logistics,Galle,Dubai,2568.12,2499.15,116.79,99.46,1.18,179.0,91.27
RT-082,Mackinnons Travels,Koggala,London,696.02,638.06,32.08,22.07,0.99,163.82,90.15
RT-083,Lanka Marine Services,Hambantota,Sydney,4735.2,4034.56,148.34,187.43,13.7,1626.5,88.33
RT-084,Lanka Marine Services,Trincomalee,Shanghai,1276.35,1139.03,46.97,50.82,1.97,279.55,87.77
RT-085,Cinnamon Hotels & Resorts,Trincomalee,Jakarta,3916.24,3667.53,140.8,124.82,4.46,526.2,92.38
RT-086,Keells Food Products,Colombo,Sydney,2119.49,2060.4,78.98,102.43,1.1,125.94,86.2
RT-087,Walkers Tours,Galle,London,3983.23,3751.45,168.32,153.3,3.81,484.01,85.19
RT-088,Keells Supermarkets,Galle,Dubai,1391.29,1306.07,44.11,45.61,1.59,199.9,93.75
RT-089,DHL Keells,Galle,Jakarta,3794.93,3672.66,156.93,114.13,1.97,285.07,80.3
RT-090,Walkers Tours,Colombo,Shanghai,2355.81,2216.66,107.43,81.67,2.64,383.63,84.74
RT-091,John Keells Properties,Galle,Shanghai,4924.92,4734.32,178.72,176.93,3.15,516.24,80.19
RT-092,John Keells Properties,Colombo,Singapore,1687.69,1568.23,61.44,57.04,1.98,312.98,91.49
RT-093,DHL Keells,Trincomalee,Mumbai,3693.83,3295.74,157.33,162.95,7.49,985.37,88.16
RT-094,Lanka Marine Services,Trincomalee,Dubai,3047.13,2713.87,116.07,95.57,6.15,655.69,80.78
RT-095,John Keells Logistics,Koggala,Singapore,3463.92,2972.04,115.93,121.59,9.02,1263.78,94.03
RT-096,John Keells Logistics,Hambantota,Doha,3895.6,3414.17,150.23,144.09,8.3,890.82,86.33
RT-097,Cinnamon Hotels & Resorts,Hambantota,Tokyo,2837.75,2663.63,135.54,110.1,2.62,332.58,84.38
RT-098,DHL Keells,Colombo,Jakarta,2362.76,2226.65,111.7,110.48,2.48,247.74,82.21
RT-099,Walkers Tours,Katunayake,London,1048.33,998.93,32.89,37.54,0.76,83.99,90.31
RT-100,DHL Keells,Galle,Doha,4755.06,4443.42,172.31,180.51,5.53,645.84,86.13
RT-101,Keells Food Products,Katunayake,Sydney,4311.57,3766.03,184.92,153.49,8.65,1368.66,83.72
RT-102,John Keells Logistics,Katunayake,Doha,4569.9,4059.69,190.32,184.61,8.31,1111.11,89.98
RT-103,Keells Food Products,Koggala,Chennai,2097.5,1963.26,74.04,65.96,1.95,205.99,92.67
RT-104,DHL Keells,Galle,Tokyo,1826.08,1762.31,84.5,82.63,1.06,181.49,89.58
RT-105,John Keells Logistics,Hambantota,Chennai,4457.58,4262.36,204.79,159.15,3.03,583.87,84.39
RT-106,Mackinnons Travels,Koggala,Singapore,4907.44,4436.83,217.95,176.57,8.68,798.46,92.62
RT-107,Cinnamon Hotels & Resorts,Koggala,Shanghai,4402.12,4082.61,181.9,197.5,4.75,748.42,80.53
RT-108,Keells Food Products,Koggala,Chennai,800.8,729.26,39.59,34.87,1.11,114.51,91.76
RT-109,Walkers Tours,Colombo,Doha,3074.43,2651.05,147.53,107.08,8.07,838.75,89.54
RT-110,John Keells Properties,Hambantota,Jakarta,3866.79,3301.22,164.02,124.43,11.29,1091.73,83.35
RT-111,Keells Supermarkets,Hambantota,Chennai,4596.08,4113.77,223.16,144.11,7.34,1195.65,84.66
RT-112,John Keells Properties,Colombo,Chennai,4628.77,4077.79,147.91,189.86,10.7,1169.69,94.47
RT-113,DHL Keells,Koggala,Dubai,4879.1,4251.67,175.82,210.51,11.05,1366.99,90.75
RT-114,Mackinnons Travels,Hambantota,Dubai,1320.95,1185.41,40.18,56.31,2.43,272.63,90.17
RT-115,Cinnamon Hotels & Resorts,Koggala,Sydney,4303.47,4047.54,168.54,142.55,4.93,735.2,93.39
RT-116,Lanka Marine Services,Galle,Chennai,2937.45,2846.92,94.3,100.18,1.63,222.32,94.52
RT-117,DHL Keells,Hambantota,Doha,3485.5,3405.5,129.8,142.54,1.55,239.89,93.99
RT-118,Union Assurance,Trincomalee,London,1441.87,1266.01,65.5,49.87,2.7,430.36,90.57
RT-119,Lanka Marine Services,Koggala,Doha,4934.38,4581.89,148.26,141.91,6.89,694.55,81.4
RT-120,Mackinnons Travels,Katunayake,Mumbai,3695.57,3183.64,135.87,97.17,8.12,993.8,94.67
RT-121,Keells Supermarkets,Hambantota,London,2587.21,2488.25,87.58,101.4,1.64,267.67,89.59
RT-122,Walkers Tours,Galle,Singapore,2895.12,2699.07,133.39,99.85,3.27,447.75,83.61
RT-123,Lanka Marine Services,Colombo,Sydney,3125.09,3050.2,97.52,92.59,1.35,198.95,81.16
RT-124,John Keells Logistics,Colombo,Tokyo,1675.9,1426.89,67.58,48.74,4.42,727.82,86.75
RT-125,Cinnamon Hotels & Resorts,Koggala,London,723.75,665.86,33.87,22.35,0.88,145.39,91.17
RT-126,Mackinnons Travels,Koggala,London,3106.87,2859.53,93.7,124.91,4.84,500.68,81.38
RT-127,Keells Food Products,Colombo,Jakarta,3017.66,2763.79,107.08,112.96,4.7,512.25,82.61
RT-128,Cinnamon Hotels & Resorts,Koggala,Singapore,952.36,824.1,44.18,27.38,2.02,193.78,91.85
RT-129,Keells Food Products,Galle,London,2669.95,2362.48,91.6,103.15,6.08,502.37,82.74
RT-130,John Keells Logistics,Trincomalee,London,3364.47,2961.82,101.33,89.19,6.79,1124.39,86.44
RT-131,Lanka Marine Services,Katunayake,Shanghai,3801.52,3662.53,176.49,145.22,2.58,300.95,83.49
RT-132,Keells Supermarkets,Colombo,Mumbai,4231.4,3828.72,193.96,152.09,7.19,705.52,93.33
RT-133,Walkers Tours,Colombo,Mumbai,3196.05,2800.03,146.13,127.93,7.66,1024.22,81.0
RT-134,Cinnamon Hotels & Resorts,Koggala,Mumbai,2663.53,2457.58,98.74,118.65,3.56,419.88,92.8
RT-135,Lanka Marine Services,Galle,Dubai,4556.18,4324.32,173.72,164.77,4.13,667.2,91.73
RT-136,John Keells Properties,Colombo,Chennai,2774.44,2363.85,94.48,93.37,6.94,1200.3,81.79
RT-137,Cinnamon Hotels & Resorts,Katunayake,Sydney,668.58,613.07,23.05,21.84,0.94,118.7,80.46
RT-138,John Keells Properties,Katunayake,Mumbai,786.95,727.31,36.64,31.4,1.02,148.94,90.07
RT-139,Keells Food Products,Trincomalee,Jakarta,2706.99,2570.81,126.96,111.8,1.98,231.75,81.71
RT-140,Cinnamon Hotels & Resorts,Hambantota,Jakarta,4042.44,3734.49,187.68,115.63,5.04,818.62,94.9
RT-141,DHL Keells,Trincomalee,Tokyo,4470.65,3840.19,171.07,149.83,9.07,972.72,94.25
RT-142,Keells Supermarkets,Katunayake,Tokyo,4980.85,4750.94,170.68,174.55,3.54,657.4,85.98
RT-143,Mackinnons Travels,Koggala,Doha,4216.13,3596.68,159.43,109.24,9.38,1003.88,92.06
RT-144,Walkers Tours,Koggala,Mumbai,1840.28,1593.87,76.83,59.47,4.84,728.97,88.6
RT-145,Walkers Tours,Galle,Singapore,1899.26,1626.7,70.83,76.88,4.38,446.12,89.95
RT-146,John Keells Logistics,Trincomalee,Chennai,3727.2,3455.62,174.74,168.31,4.64,580.69,83.17
RT-147,Lanka Marine Services,Hambantota,Sydney,759.98,721.64,25.37,22.35,0.71,58.82,80.34
RT-148,Walkers Tours,Katunayake,Mumbai,792.02,689.77,35.64,22.69,1.61,189.29,89.68
RT-149,Cinnamon Hotels & Resorts,Koggala,Dubai,2420.21,2082.43,117.06,103.5,5.16,604.02,91.48
RT-150,John Keells Properties,Trincomalee,London,4476.71,3906.36,184.62,133.36,10.52,891.21,83.86
RT-151,John Keells Properties,Hambantota,London,630.05,588.63,24.66,20.12,0.75,112.0,86.35
RT-152,Union Assurance,Galle,Shanghai,3061.85,2698.8,113.58,123.56,6.1,775.58,85.41
RT-153,Cinnamon Hotels & Resorts,Colombo,Mumbai,4836.68,4379.74,166.58,203.86,8.4,838.13,88.62
RT-154,DHL Keells,Hambantota,Dubai,1217.94,1090.44,51.35,53.51,2.24,294.24,86.35
RT-155,John Keells Logistics,Galle,Chennai,1300.29,1105.92,53.28,53.67,2.86,302.62,92.27
RT-156,John Keells Properties,Colombo,Chennai,3965.93,3853.81,154.79,146.47,2.04,282.9,80.66
RT-157,John Keells Logistics,Hambantota,Singapore,3011.47,2881.19,124.12,90.31,2.41,284.23,80.5
RT-158,John Keells Properties,Katunayake,Doha,1246.3,1161.69,56.02,38.24,1.29,159.96,91.88
RT-159,John Keells Properties,Koggala,Chennai,2088.21,1911.91,67.89,68.65,3.16,369.28,94.28
RT-160,Mackinnons Travels,Galle,Jakarta,2629.5,2292.7,80.6,82.01,5.54,766.87,80.74
RT-161,Walkers Tours,Colombo,Doha,2689.61,2414.98,94.52,114.13,4.97,687.67,88.96
RT-162,John Keells Properties,Koggala,Doha,1853.97,1697.46,60.21,70.89,2.4,264.15,87.77
RT-163,Union Assurance,Hambantota,Shanghai,3946.37,3710.04,173.8,152.46,4.43,457.11,89.96
RT-164,Walkers Tours,Galle,Tokyo,4826.99,4127.37,215.86,136.93,12.13,1194.59,84.45
RT-165,Keells Supermarkets,Koggala,Jakarta,2068.07,2026.15,83.07,74.73,0.72,124.81,91.99
RT-166,Cinnamon Hotels & Resorts,Galle,Doha,1360.26,1249.35,43.96,48.61,2.11,173.97,91.21
RT-167,DHL Keells,Trincomalee,Tokyo,4823.82,4645.44,183.86,194.98,2.66,491.11,80.46
RT-168,DHL Keells,Hambantota,Tokyo,2494.64,2182.32,78.03,91.35,4.75,641.6,94.37
RT-169,Cinnamon Hotels & Resorts,Katunayake,Sydney,846.22,804.96,29.41,34.67,0.64,104.73,83.93
RT-170,DHL Keells,Colombo,Shanghai,2348.4,2043.71,86.03,62.08,4.42,514.62,92.35
RT-171,John Keells Properties,Galle,Dubai,4450.78,3933.46,139.06,130.27,8.42,1401.09,92.4
RT-172,Union Assurance,Trincomalee,Jakarta,2964.73,2560.12,99.82,97.04,7.18,1166.55,94.15
RT-173,Union Assurance,Trincomalee,Sydney,4169.73,3587.09,150.43,113.13,10.25,1535.79,83.03
RT-174,Mackinnons Travels,Hambantota,Mumbai,2339.91,2242.47,84.04,99.49,1.45,258.44,87.37
RT-175,Walkers Tours,Colombo,Singapore,3871.54,3391.87,139.72,137.97,7.4,1377.65,81.92
RT-176,Keells Supermarkets,Colombo,Chennai,1554.15,1368.9,76.81,52.15,3.13,513.69,88.55
RT-177,Mackinnons Travels,Katunayake,Mumbai,605.52,572.75,21.84,27.9,0.49,62.79,85.95
RT-178,Walkers Tours,Katunayake,Sydney,1007.34,923.14,36.99,32.92,1.51,242.23,81.7
RT-179,Keells Food Products,Trincomalee,Doha,4068.09,3677.43,192.1,147.38,6.76,706.75,81.69
RT-180,Lanka Marine Services,Colombo,Doha,4708.76,4106.37,231.33,146.33,10.1,1794.51,92.8
RT-181,John Keells Logistics,Colombo,Sydney,2316.17,2059.65,78.29,89.65,4.6,561.29,80.13
RT-182,Union Assurance,Trincomalee,London,2468.69,2243.83,99.06,69.36,3.92,653.73,82.88
RT-183,John Keells Logistics,Colombo,Jakarta,1900.87,1857.35,87.45,70.58,0.74,104.29,92.88
RT-184,John Keells Logistics,Koggala,Tokyo,2501.41,2409.9,86.45,75.73,1.83,263.89,81.89
RT-185,Walkers Tours,Hambantota,Tokyo,3287.6,2987.61,117.47,140.85,5.03,679.14,80.38
RT-186,Mackinnons Travels,Colombo,London,3721.27,3633.75,140.2,130.14,1.36,250.52,92.17
RT-187,Keells Food Products,Hambantota,Tokyo,4831.39,4578.54,167.36,143.46,4.08,523.29,85.98
RT-188,John Keells Logistics,Colombo,Tokyo,4057.15,3530.44,123.75,135.1,7.87,1241.29,88.58
RT-189,John Keells Logistics,Hambantota,Singapore,1054.6,1011.84,35.54,39.85,0.85,102.96,84.05
RT-190,John Keells Properties,Colombo,London,700.96,614.83,27.12,28.19,1.42,210.13,81.78
RT-191,Lanka Marine Services,Koggala,Shanghai,3214.01,2824.47,101.8,87.62,7.39,682.06,87.68
RT-192,Lanka Marine Services,Katunayake,Singapore,4996.07,4407.34,159.38,192.75,11.7,1696.11,95.0
RT-193,Mackinnons Travels,Trincomalee,Doha,1516.13,1301.57,54.21,48.59,3.56,512.05,91.61
RT-194,Mackinnons Travels,Hambantota,Singapore,3441.03,3268.61,142.28,154.32,2.81,451.23,94.96
RT-195,Union Assurance,Koggala,Shanghai,2258.93,2058.91,95.67,63.64,3.55,344.11,85.74
RT-196,Keells Supermarkets,Trincomalee,Sydney,1443.94,1366.6,47.73,49.74,1.14,155.43,88.74
RT-197,Lanka Marine Services,Trincomalee,Mumbai,3838.81,3436.43,119.43,143.44,7.38,891.55,92.09
RT-198,Keells Supermarkets,Katunayake,Jakarta,886.08,827.09,41.38,38.02,1.0,116.81,85.38
RT-199,Walkers Tours,Koggala,Jakarta,2558.38,2216.48,98.4,74.62,5.76,813.98,82.93
RT-200,Union Assurance,Galle,Dubai,4526.6,4036.96,216.15,165.33,7.02,1060.18,93.91
RT-201,Keells Supermarkets,Colombo,Mumbai,1437.32,1397.13,61.32,57.63,0.74,63.37,93.48
RT-202,Union Assurance,Trincomalee,Sydney,1366.79,1219.47,45.81,49.8,2.43,243.56,87.18
RT-203,Cinnamon Hotels & Resorts,Katunayake,Tokyo,3184.16,2736.72,98.85,117.7,8.21,1196.11,90.96
RT-204,DHL Keells,Hambantota,Dubai,4777.38,4153.99,185.96,176.29,9.38,1563.94,93.94
RT-205,Keells Supermarkets,Koggala,Tokyo,4971.68,4771.12,243.81,208.2,3.2,337.39,91.28
RT-206,John Keells Properties,Colombo,Shanghai,774.53,699.46,23.37,32.99,1.1,200.63,85.86
RT-207,John Keells Logistics,Galle,Tokyo,2224.12,2127.71,83.19,94.88,1.38,242.1,83.54
RT-208,Walkers Tours,Colombo,Tokyo,4080.16,3980.0,160.35,132.28,1.45,212.95,86.79
RT-209,John Keells Properties,Hambantota,Shanghai,2571.57,2336.42,90.8,79.14,4.21,465.02,81.62
RT-210,John Keells Properties,Galle,Chennai,777.58,696.38,29.49,32.63,1.32,240.7,90.99
RT-211,Mackinnons Travels,Colombo,Dubai,4436.93,3822.01,147.51,176.95,12.26,1464.8,81.01
RT-212,Keells Supermarkets,Colombo,Chennai,4531.75,3934.86,143.69,160.35,9.69,1358.96,82.92
RT-213,Lanka Marine Services,Koggala,Singapore,814.01,702.06,36.24,33.03,2.22,184.35,83.11
RT-214,John Keells Logistics,Koggala,Sydney,2979.23,2741.23,140.19,96.74,4.12,544.87,93.65
RT-215,Lanka Marine Services,Katunayake,Chennai,4664.54,4393.59,160.35,214.04,4.16,528.08,91.1
RT-216,Keells Supermarkets,Colombo,Sydney,3323.49,2962.74,142.46,97.31,5.16,1034.08,86.88
RT-217,Union Assurance,Trincomalee,London,511.55,475.48,23.56,20.36,0.58,81.35,90.34
RT-218,Union Assurance,Katunayake,Dubai,2254.39,2001.4,82.51,77.82,4.69,601.99,80.67
RT-219,DHL Keells,Galle,Shanghai,2645.92,2475.28,101.81,116.17,2.93,257.52,82.75
RT-220,Cinnamon Hotels & Resorts,Trincomalee,Sydney,4320.97,4092.52,157.63,184.97,3.61,460.68,88.89
RT-221,John Keells Properties,Katunayake,Singapore,3006.16,2659.26,106.61,93.7,6.63,813.59,87.65
RT-222,Lanka Marine Services,Katunayake,Sydney,1440.43,1263.05,65.48,48.39,3.35,360.81,91.18
RT-223,DHL Keells,Trincomalee,Tokyo,1599.9,1492.85,69.76,52.76,1.98,165.74,87.9
RT-224,Mackinnons Travels,Colombo,Singapore,1836.68,1742.19,55.66,66.11,1.41,242.55,89.51
RT-225,Cinnamon Hotels & Resorts,Colombo,Singapore,3984.1,3766.19,125.81,130.76,3.38,411.61,90.74
RT-226,Keells Food Products,Katunayake,Jakarta,3936.25,3671.67,135.79,139.17,4.51,414.53,92.55
RT-227,Lanka Marine Services,Galle,Tokyo,4526.38,4392.19,159.42,171.08,2.17,272.88,87.52
RT-228,Walkers Tours,Hambantota,Tokyo,4182.91,3564.97,133.2,107.28,8.88,1604.19,84.08
RT-229,Lanka Marine Services,Hambantota,Chennai,2063.19,1869.76,100.65,66.2,3.72,417.03,94.82
RT-230,Keells Food Products,Trincomalee,London,1242.76,1182.87,43.65,36.89,0.96,155.05,91.02
RT-231,Mackinnons Travels,Colombo,Dubai,840.57,762.52,38.83,33.58,1.27,180.24,88.84
RT-232,Keells Supermarkets,Hambantota,Jakarta,3769.19,3454.69,117.0,109.46,4.5,757.47,94.81
RT-233,John Keells Properties,Colombo,Mumbai,4613.81,4475.43,140.74,201.13,2.22,279.43,85.46
RT-234,John Keells Properties,Katunayake,Tokyo,750.39,658.86,36.02,26.13,1.37,170.35,88.7
RT-235,Mackinnons Travels,Katunayake,Shanghai,3467.2,3356.08,111.75,101.18,1.59,219.38,91.59
RT-236,Keells Food Products,Hambantota,Mumbai,3819.97,3383.79,186.14,130.73,7.94,854.13,81.8
RT-237,Keells Food Products,Colombo,Shanghai,3932.03,3464.35,119.98,157.4,8.61,784.37,84.62
RT-238,DHL Keells,Hambantota,London,3348.44,2917.68,121.08,88.23,8.23,700.53,94.45
RT-239,John Keells Properties,Katunayake,Jakarta,4540.25,3933.94,193.78,159.0,10.0,1015.91,86.48
RT-240,Walkers Tours,Galle,London,4653.62,4077.87,141.74,131.1,8.55,1017.44,91.89
RT-241,Keells Supermarkets,Colombo,London,870.85,813.51,40.61,27.9,0.85,120.6,80.18
RT-242,John Keells Logistics,Koggala,Doha,2335.88,2069.18,75.15,63.27,4.43,523.51,91.9
RT-243,Keells Supermarkets,Colombo,Doha,818.39,794.33,33.47,38.33,0.38,41.21,85.4
RT-244,Walkers Tours,Hambantota,Sydney,597.06,538.48,27.18,17.97,0.91,123.31,93.79
RT-245,Lanka Marine Services,Galle,Chennai,1685.84,1505.11,69.78,59.57,2.95,493.79,91.07
RT-246,Cinnamon Hotels & Resorts,Galle,Dubai,4267.57,3648.41,184.27,148.91,9.77,1407.5,93.7
RT-247,Keells Supermarkets,Koggala,Sydney,4564.88,4390.3,173.51,173.31,2.5,272.51,88.86
RT-248,Walkers Tours,Koggala,Singapore,1844.76,1710.16,57.13,67.95,2.59,203.3,80.95
RT-249,Walkers Tours,Colombo,Jakarta,3302.57,2859.69,103.48,98.79,8.46,1222.93,93.66
RT-250,Cinnamon Hotels & Resorts,Hambantota,Sydney,4130.24,3777.34,187.31,133.35,6.28,780.06,81.02
RT-251,Cinnamon Hotels & Resorts,Katunayake,Chennai,4249.21,4146.13,179.91,189.0,1.62,241.65,86.05
RT-252,DHL Keells,Trincomalee,Mumbai,1288.28,1124.04,57.85,53.04,3.27,433.85,91.48
