Date,Category,Subcategory,Company,District,Emissions,Percentage_of_Total
2023-11-23,Plantation Services,Tea Plantations,Keells Plantations,Kalutara,529.93,10.11
2023-12-09,Information Technology,Software Services,Infomate,Kilinochchi,601.08,21.42
2023-03-05,Transportation,Ports & Shipping,John Keells Logistics,Ampara,850.19,24.29
2023-01-16,Retail,Supermarkets,Keells Super,Hambantota,631.27,12.56
2023-08-11,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Hambantota,604.97,19.15
2023-09-17,Retail,Supermarkets,Keells Super,Kilinochchi,193.92,23.05
2023-05-21,Transportation,Ports & Shipping,John Keells Logistics,Nuwara Eliya,126.24,24.25
2023-01-06,Property,Property Development,John Keells Properties,Colombo,198.91,7.45
2023-08-22,Consumer Foods,Beverages,Keells Food Products,Ratnapura,373.67,13.1
2023-09-30,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Kalutara,1172.79,11.01
2023-01-31,Financial Services,Insurance,Union Assurance,Ampara,447.68,21.5
2023-05-31,Leisure,Hotel Ownership,Whittall Boustead Travel,Polonnaruwa,184.09,24.4
2023-03-08,Property,Property Development,John Keells Properties,Polonnaruwa,228.19,15.58
2023-07-15,Leisure,Hotel Management,Whittall Boustead Travel,Matara,284.39,24.22
2023-01-27,Consumer Foods,Beverages,Ceylon Cold Stores,Kalutara,242.67,6.99
2023-12-16,Consumer Foods,Beverages,Keells Food Products,Trincomalee,738.12,3.57
2023-03-11,Plantation Services,Tea Plantations,Keells Plantations,Puttalam,660.05,14.85
2023-11-26,Retail,Supermarkets,Keells Super,Matara,409.54,24.72
2023-02-06,Information Technology,Software Services,Infomate,Puttalam,132.4,24.1
2023-04-07,Leisure,Hotel Ownership,Walkers Tours,Galle,961.23,21.02
2023-11-13,Retail,Supermarkets,Keells Super,Jaffna,1052.75,10.14
2023-10-09,Retail,Supermarkets,Keells Super,Kurunegala,1157.15,23.16
2023-09-21,Retail,Supermarkets,Keells Super,Batticaloa,1152.01,6.48
2023-02-20,Information Technology,Business Process Outsourcing,Infomate,Kilinochchi,352.67,1.01
2023-07-12,Leisure,Destination Management,Walkers Tours,Moneragala,943.86,9.61
2023-10-24,Leisure,Destination Management,Whittall Boustead Travel,Gampaha,989.16,24.8
2023-03-06,Retail,Supermarkets,Keells Super,Matara,984.6,22.25
2023-04-18,Property,Property Development,John Keells Properties,Anuradhapura,256.22,5.18
2023-08-21,Property,Property Development,John Keells Properties,Batticaloa,996.43,18.93
2023-10-11,Information Technology,Business Process Outsourcing,John Keells IT,Badulla,473.92,6.32
2023-01-29,Leisure,Destination Management,Whittall Boustead Travel,Mullaitivu,1121.92,1.14
2023-01-09,Retail,Supermarkets,Keells Super,Kurunegala,440.83,6.75
2023-12-28,Financial Services,Insurance,Union Assurance,Gampaha,215.97,22.78
2023-08-28,Financial Services,Other Financial Services,Nations Trust Bank,Batticaloa,1124.11,3.7
2023-09-30,Leisure,Hotel Ownership,Cinnamon Hotels & Resorts,Kurunegala,122.92,15.8
2023-07-25,Plantation Services,Tea Plantations,Keells Plantations,Ampara,154.62,9.99
2023-09-27,Plantation Services,Tea Plantations,Keells Plantations,Ratnapura,538.82,21.01
2023-03-24,Consumer Foods,Frozen Confectionery,Keells Food Products,Mullaitivu,325.01,7.52
2023-02-13,Transportation,Logistics,South Asia Gateway Terminals,Badulla,342.48,2.75
2023-09-15,Leisure,Hotel Management,Cinnamon Hotels & Resorts,Jaffna,350.39,2.13
2023-07-10,Consumer Foods,Beverages,Ceylon Cold Stores,Puttalam,327.45,1.73
2023-11-21,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Polonnaruwa,531.58,19.6
2023-03-02,Information Technology,Business Process Outsourcing,John Keells IT,Badulla,1076.24,19.08
2023-05-02,Consumer Foods,Convenience Foods,Keells Food Products,Kegalle,839.49,10.24
2023-09-27,Information Technology,Business Process Outsourcing,John Keells IT,Hambantota,377.3,22.51
2023-07-20,Retail,Supermarkets,Keells Super,Matale,785.14,14.32
2023-12-08,Retail,Supermarkets,Keells Super,Kalutara,425.42,8.04
2023-05-24,Consumer Foods,Beverages,Keells Food Products,Kegalle,453.86,18.23
2023-03-23,Plantation Services,Tea Plantations,Keells Plantations,Polonnaruwa,657.35,16.98
2023-11-08,Property,Property Management,John Keells Properties,Gampaha,149.02,5.32
2023-04-23,Financial Services,Insurance,Union Assurance,Colombo,800.06,10.21
2023-08-01,Consumer Foods,Frozen Confectionery,Keells Food Products,Vavuniya,680.55,20.28
2023-04-23,Retail,Supermarkets,Keells Super,Mannar,623.39,14.57
2023-08-02,Leisure,Hotel Management,Cinnamon Hotels & Resorts,Jaffna,1146.63,14.42
2023-06-26,Leisure,Hotel Management,Cinnamon Hotels & Resorts,Puttalam,267.58,17.43
2023-09-06,Retail,Supermarkets,Keells Super,Kandy,662.38,15.9
2023-03-11,Plantation Services,Tea Plantations,Keells Plantations,Hambantota,1157.08,13.9
2023-10-27,Transportation,Ports & Shipping,John Keells Logistics,Ratnapura,809.75,18.57
2023-10-08,Financial Services,Other Financial Services,Nations Trust Bank,Vavuniya,673.07,1.81
2023-02-20,Transportation,Logistics,John Keells Logistics,Kilinochchi,1199.14,2.13
2023-03-29,Leisure,Destination Management,Cinnamon Hotels & Resorts,Kegalle,502.67,17.61
2023-03-23,Transportation,Ports & Shipping,John Keells Logistics,Anuradhapura,915.4,11.09
2023-09-03,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Polonnaruwa,971.71,10.86
2023-12-14,Leisure,Hotel Management,Cinnamon Hotels & Resorts,Hambantota,910.55,13.11
2023-08-16,Retail,Supermarkets,Keells Super,Kilinochchi,119.91,14.58
2023-08-04,Plantation Services,Tea Plantations,Keells Plantations,Ratnapura,235.7,17.8
2023-01-11,Information Technology,Business Process Outsourcing,Infomate,Polonnaruwa,1154.45,6.33
2023-10-11,Information Technology,Software Services,John Keells IT,Mullaitivu,951.05,22.49
2023-11-27,Financial Services,Other Financial Services,Nations Trust Bank,Batticaloa,1030.33,2.49
2023-09-09,Plantation Services,Rubber Plantations,Keells Plantations,Jaffna,1198.11,21.79
2023-07-06,Transportation,Logistics,South Asia Gateway Terminals,Matara,1030.14,19.21
2023-10-14,Transportation,Logistics,John Keells Logistics,Kilinochchi,869.6,23.27
2023-07-18,Transportation,Logistics,South Asia Gateway Terminals,Colombo,130.63,8.92
2023-01-31,Plantation Services,Rubber Plantations,Keells Plantations,Kalutara,1128.06,15.59
2023-03-04,Consumer Foods,Beverages,Keells Food Products,Kalutara,562.92,15.49
2023-10-11,Information Technology,Business Process Outsourcing,Infomate,Moneragala,836.6,3.75
2023-02-20,Financial Services,Banking,Nations Trust Bank,Nuwara Eliya,1045.47,20.84
2023-04-10,Plantation Services,Rubber Plantations,Keells Plantations,Kegalle,155.29,22.07
2023-11-04,Property,Property Development,John Keells Properties,Kegalle,1169.98,13.84
2023-03-29,Financial Services,Other Financial Services,Union Assurance,Jaffna,1177.01,17.12
2023-08-02,Plantation Services,Rubber Plantations,Keells Plantations,Jaffna,867.4,4.88
2023-09-05,Transportation,Ports & Shipping,John Keells Logistics,Trincomalee,1132.09,20.93
2023-10-01,Property,Property Management,John Keells Properties,Kandy,808.29,7.79
2023-07-12,Financial Services,Insurance,Nations Trust Bank,Kilinochchi,1126.06,6.98
2023-08-25,Transportation,Logistics,South Asia Gateway Terminals,Kegalle,502.1,9.16
2023-08-18,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Batticaloa,748.03,6.25
2023-11-10,Transportation,Ports & Shipping,John Keells Logistics,Moneragala,1173.64,16.83
2023-09-27,Property,Property Development,John Keells Properties,Mullaitivu,990.31,9.67
2023-03-08,Leisure,Destination Management,Walkers Tours,Mannar,209.13,11.29
2023-10-24,Information Technology,Software Services,Infomate,Puttalam,297.69,14.29
2023-04-30,Information Technology,Business Process Outsourcing,John Keells IT,Badulla,338.07,5.48
2023-04-16,Information Technology,Software Services,John Keells IT,Kilinochchi,714.72,7.98
2023-08-26,Transportation,Ports & Shipping,South Asia Gateway Terminals,Colombo,1027.15,16.4
2023-03-28,Property,Property Management,John Keells Properties,Batticaloa,608.46,16.36
2023-11-06,Transportation,Logistics,John Keells Logistics,Hambantota,801.72,18.22
2023-12-17,Leisure,Destination Management,Whittall Boustead Travel,Kegalle,952.32,8.17
2023-12-05,Leisure,Hotel Ownership,Walkers Tours,Badulla,378.83,4.35
2023-11-25,Financial Services,Insurance,Union Assurance,Kegalle,974.86,24.36
2023-03-03,Retail,Supermarkets,Keells Super,Moneragala,748.02,20.45
2023-06-30,Property,Property Development,John Keells Properties,Kegalle,983.47,12.38
2023-08-28,Financial Services,Other Financial Services,Union Assurance,Colombo,436.48,2.79
2023-08-23,Transportation,Ports & Shipping,John Keells Logistics,Trincomalee,447.33,20.7
2023-08-25,Consumer Foods,Beverages,Ceylon Cold Stores,Kilinochchi,1016.15,2.38
2023-12-16,Retail,Supermarkets,Keells Super,Nuwara Eliya,465.34,18.78
2023-07-16,Transportation,Logistics,South Asia Gateway Terminals,Vavuniya,1127.49,17.9
2023-04-27,Consumer Foods,Frozen Confectionery,Keells Food Products,Polonnaruwa,697.66,9.97
2023-08-01,Information Technology,Software Services,John Keells IT,Ampara,147.79,12.38
2023-09-29,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Polonnaruwa,1068.1,6.72
2023-03-29,Transportation,Logistics,South Asia Gateway Terminals,Kilinochchi,882.6,12.25
2023-12-20,Plantation Services,Tea Plantations,Keells Plantations,Anuradhapura,689.39,19.54
2023-05-01,Consumer Foods,Convenience Foods,Ceylon Cold Stores,Anuradhapura,1134.14,21.76
2023-04-12,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Hambantota,755.45,13.51
2023-04-15,Transportation,Ports & Shipping,John Keells Logistics,Matara,641.0,8.76
2023-12-02,Transportation,Ports & Shipping,John Keells Logistics,Gampaha,1174.28,23.96
2023-12-05,Plantation Services,Tea Plantations,Keells Plantations,Ampara,410.85,6.02
2023-01-07,Plantation Services,Tea Plantations,Keells Plantations,Batticaloa,320.07,10.71
2023-07-18,Information Technology,Business Process Outsourcing,John Keells IT,Nuwara Eliya,512.64,21.66
2023-07-18,Transportation,Logistics,South Asia Gateway Terminals,Kurunegala,593.39,3.04
2023-04-28,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Jaffna,1066.68,4.01
2023-03-16,Transportation,Logistics,South Asia Gateway Terminals,Colombo,599.81,12.1
2023-03-21,Plantation Services,Rubber Plantations,Keells Plantations,Polonnaruwa,437.67,17.88
2023-07-05,Leisure,Hotel Management,Walkers Tours,Ampara,1094.86,8.02
2023-12-23,Leisure,Hotel Ownership,Whittall Boustead Travel,Ampara,621.15,4.21
2023-03-19,Financial Services,Other Financial Services,Union Assurance,Colombo,632.21,10.52
2023-02-05,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Batticaloa,972.7,3.47
2023-09-03,Consumer Foods,Beverages,Keells Food Products,Jaffna,174.55,21.05
2023-03-20,Property,Property Management,John Keells Properties,Matale,562.9,10.27
2023-03-08,Retail,Supermarkets,Keells Super,Ampara,144.12,7.83
2023-01-05,Information Technology,Business Process Outsourcing,John Keells IT,Mullaitivu,518.02,22.25
2023-08-03,Financial Services,Insurance,Nations Trust Bank,Gampaha,367.22,10.27
2023-03-26,Property,Property Development,John Keells Properties,Matale,550.5,17.37
2023-06-06,Transportation,Logistics,John Keells Logistics,Kegalle,1016.72,9.82
2023-04-28,Transportation,Logistics,South Asia Gateway Terminals,Nuwara Eliya,291.24,11.51
2023-06-26,Consumer Foods,Beverages,Ceylon Cold Stores,Matara,376.65,22.73
2023-05-02,Consumer Foods,Beverages,Keells Food Products,Galle,336.62,7.92
2023-05-11,Plantation Services,Tea Plantations,Keells Plantations,Mullaitivu,178.79,19.26
2023-03-08,Retail,Supermarkets,Keells Super,Jaffna,895.55,16.81
2023-10-15,Plantation Services,Tea Plantations,Keells Plantations,Mullaitivu,563.59,4.48
2023-02-02,Leisure,Hotel Management,Walkers Tours,Polonnaruwa,388.76,3.91
2023-08-15,Information Technology,Software Services,Infomate,Ratnapura,321.0,8.46
2023-07-06,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Polonnaruwa,644.44,6.99
2023-05-24,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Batticaloa,914.9,1.12
2023-10-18,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Puttalam,988.46,20.18
2023-01-11,Retail,Supermarkets,Keells Super,Badulla,216.53,18.32
2023-11-15,Plantation Services,Tea Plantations,Keells Plantations,Kegalle,571.39,2.71
2023-10-29,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Polonnaruwa,885.58,19.8
2023-06-15,Transportation,Ports & Shipping,John Keells Logistics,Ampara,300.1,17.44
2023-10-15,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Badulla,222.19,1.11
2023-12-08,Consumer Foods,Frozen Confectionery,Keells Food Products,Galle,692.48,12.97
2023-02-12,Transportation,Logistics,John Keells Logistics,Batticaloa,245.85,17.39
2023-11-11,Retail,Supermarkets,Keells Super,Mullaitivu,813.02,11.94
2023-05-23,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Gampaha,581.63,8.31
2023-05-28,Retail,Supermarkets,Keells Super,Hambantota,552.63,24.49
2023-07-15,Information Technology,Business Process Outsourcing,Infomate,Kurunegala,845.99,24.03
2023-11-26,Property,Property Management,John Keells Properties,Batticaloa,773.33,20.56
2023-04-06,Plantation Services,Rubber Plantations,Keells Plantations,Nuwara Eliya,170.87,21.14
2023-06-15,Property,Property Management,John Keells Properties,Trincomalee,454.5,7.12
2023-03-29,Property,Property Development,John Keells Properties,Vavuniya,713.68,6.78
2023-06-23,Leisure,Hotel Ownership,Walkers Tours,Ampara,269.45,21.1
2023-04-13,Information Technology,Business Process Outsourcing,John Keells IT,Matale,632.8,17.14
2023-01-27,Consumer Foods,Convenience Foods,Ceylon Cold Stores,Polonnaruwa,666.76,9.48
2023-07-04,Information Technology,Business Process Outsourcing,John Keells IT,Anuradhapura,740.37,13.18
2023-09-19,Transportation,Logistics,John Keells Logistics,Colombo,292.25,23.83
2023-05-08,Financial Services,Other Financial Services,Nations Trust Bank,Hambantota,266.64,1.13
2023-06-11,Consumer Foods,Beverages,Keells Food Products,Mullaitivu,324.99,9.53
2023-02-23,Leisure,Destination Management,Cinnamon Hotels & Resorts,Kalutara,969.84,19.48
2023-02-28,Plantation Services,Tea Plantations,Keells Plantations,Mannar,909.41,23.38
2023-11-25,Leisure,Hotel Management,Cinnamon Hotels & Resorts,Jaffna,1027.09,13.38
2023-07-13,Information Technology,Software Services,John Keells IT,Kilinochchi,105.99,7.09
2023-11-18,Transportation,Ports & Shipping,South Asia Gateway Terminals,Colombo,378.67,9.88
2023-10-24,Consumer Foods,Convenience Foods,Keells Food Products,Gampaha,941.44,20.87
2023-03-13,Transportation,Ports & Shipping,John Keells Logistics,Matara,582.84,11.49
2023-11-25,Financial Services,Insurance,Nations Trust Bank,Kurunegala,178.6,11.84
2023-02-17,Retail,Supermarkets,Keells Super,Kurunegala,891.48,23.38
2023-06-18,Information Technology,Software Services,Infomate,Nuwara Eliya,530.49,9.74
2023-01-20,Information Technology,Business Process Outsourcing,John Keells IT,Kegalle,750.43,20.32
2023-12-18,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Polonnaruwa,487.15,12.98
2023-12-14,Transportation,Ports & Shipping,South Asia Gateway Terminals,Batticaloa,739.76,4.59
2023-08-08,Leisure,Hotel Ownership,Walkers Tours,Ratnapura,559.3,11.07
2023-02-19,Leisure,Hotel Management,Walkers Tours,Ratnapura,369.91,22.63
2023-09-30,Transportation,Ports & Shipping,John Keells Logistics,Mullaitivu,177.62,10.69
2023-02-19,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Matale,986.19,20.71
2023-07-09,Property,Property Development,John Keells Properties,Anuradhapura,1158.15,4.51
2023-05-14,Plantation Services,Rubber Plantations,Tea Smallholder Factories PLC,Colombo,683.77,17.59
2023-10-18,Leisure,Destination Management,Walkers Tours,Batticaloa,178.17,10.07
2023-08-22,Transportation,Ports & Shipping,South Asia Gateway Terminals,Mullaitivu,532.49,3.11
2023-04-27,Property,Property Management,John Keells Properties,Ampara,230.73,23.43
2023-06-27,Financial Services,Insurance,Nations Trust Bank,Kurunegala,281.07,12.02
2023-03-11,Information Technology,Business Process Outsourcing,John Keells IT,Puttalam,546.85,11.57
2023-11-06,Transportation,Ports & Shipping,John Keells Logistics,Matara,1010.99,11.87
2023-09-19,Leisure,Hotel Ownership,Walkers Tours,Mullaitivu,194.44,21.06
2023-04-22,Transportation,Logistics,John Keells Logistics,Colombo,925.03,11.19
2023-01-25,Property,Property Management,John Keells Properties,Trincomalee,579.38,19.23
2023-01-19,Information Technology,Business Process Outsourcing,Infomate,Badulla,211.24,21.45
2023-10-29,Leisure,Destination Management,Cinnamon Hotels & Resorts,Ratnapura,389.16,24.8
2023-03-23,Financial Services,Banking,Union Assurance,Galle,192.35,8.96
2023-08-25,Retail,Supermarkets,Keells Super,Puttalam,257.73,19.37
2023-01-21,Transportation,Logistics,South Asia Gateway Terminals,Kurunegala,341.83,17.87
2023-07-23,Consumer Foods,Convenience Foods,Keells Food Products,Puttalam,129.67,24.7
2023-08-14,Plantation Services,Rubber Plantations,Keells Plantations,Trincomalee,780.54,20.39
2023-12-02,Information Technology,Software Services,Infomate,Badulla,799.76,4.78
2023-11-01,Transportation,Ports & Shipping,South Asia Gateway Terminals,Kilinochchi,1124.71,15.08
2023-03-15,Leisure,Hotel Management,Cinnamon Hotels & Resorts,Badulla,756.26,17.27
2023-01-21,Property,Property Development,John Keells Properties,Trincomalee,737.86,7.57
2023-08-03,Property,Property Management,John Keells Properties,Kalutara,528.58,24.63
2023-09-06,Financial Services,Other Financial Services,Nations Trust Bank,Kalutara,699.6,2.77
2023-10-07,Property,Property Management,John Keells Properties,Hambantota,401.14,12.48
2023-11-20,Property,Property Management,John Keells Properties,Moneragala,519.42,14.28
2023-07-01,Information Technology,Business Process Outsourcing,Infomate,Matara,861.89,7.23
2023-03-16,Property,Property Management,John Keells Properties,Polonnaruwa,1034.72,14.6
2023-01-21,Information Technology,Software Services,John Keells IT,Kalutara,739.63,5.93
2023-08-31,Financial Services,Other Financial Services,Nations Trust Bank,Matale,854.14,20.77
2023-01-22,Retail,Supermarkets,Keells Super,Gampaha,476.76,22.75
2023-08-25,Information Technology,Business Process Outsourcing,Infomate,Nuwara Eliya,862.49,11.53
2023-06-03,Consumer Foods,Convenience Foods,Keells Food Products,Galle,933.18,10.63
2023-07-21,Retail,Supermarkets,Keells Super,Anuradhapura,587.56,20.58
2023-05-26,Information Technology,Business Process Outsourcing,Infomate,Kegalle,241.18,19.0
2023-08-02,Leisure,Hotel Ownership,Walkers Tours,Nuwara Eliya,1159.91,19.15
2023-07-08,Information Technology,Software Services,John Keells IT,Puttalam,890.6,19.27
2023-06-08,Transportation,Ports & Shipping,South Asia Gateway Terminals,Kilinochchi,187.56,22.91
2023-10-13,Consumer Foods,Frozen Confectionery,Ceylon Cold Stores,Kegalle,497.41,23.01
2023-01-07,Financial Services,Banking,Union Assurance,Vavuniya,554.86,15.16
2023-10-18,Financial Services,Insurance,Union Assurance,Kandy,1045.31,21.54
2023-10-15,Consumer Foods,Convenience Foods,Keells Food Products,Anuradhapura,740.72,23.59
2023-01-29,Financial Services,Insurance,Union Assurance,Galle,1107.17,14.79
2023-02-05,Retail,Supermarkets,Keells Super,Anuradhapura,325.02,10.36
2023-09-05,Financial Services,Insurance,Nations Trust Bank,Jaffna,1157.88,15.44
2023-10-12,Information Technology,Software Services,Infomate,Batticaloa,1059.48,2.68
2023-11-07,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Kalutara,264.43,7.7
2023-09-12,Transportation,Logistics,South Asia Gateway Terminals,Kegalle,1018.79,10.2
2023-11-25,Property,Property Management,John Keells Properties,Kegalle,311.48,14.55
2023-07-26,Property,Property Management,John Keells Properties,Hambantota,580.71,14.78
2023-01-16,Retail,Supermarkets,Keells Super,Kurunegala,1177.22,9.62
2023-04-18,Information Technology,Business Process Outsourcing,John Keells IT,Nuwara Eliya,229.34,5.37
2023-11-30,Property,Property Development,John Keells Properties,Vavuniya,939.09,8.84
2023-12-12,Property,Property Development,John Keells Properties,Matara,573.36,10.46
2023-07-05,Information Technology,Business Process Outsourcing,John Keells IT,Puttalam,913.47,20.7
2023-12-12,Property,Property Management,John Keells Properties,Ampara,142.36,3.57
2023-07-18,Transportation,Logistics,John Keells Logistics,Moneragala,587.48,9.03
2023-09-29,Consumer Foods,Convenience Foods,Keells Food Products,Nuwara Eliya,936.72,20.22
2023-11-03,Retail,Supermarkets,Keells Super,Galle,183.29,10.8
2023-06-15,Information Technology,Business Process Outsourcing,John Keells IT,Kegalle,147.02,9.79
2023-10-03,Plantation Services,Tea Plantations,Tea Smallholder Factories PLC,Galle,444.5,24.4
2023-04-21,Financial Services,Banking,Nations Trust Bank,Badulla,1162.66,11.56
2023-01-10,Retail,Supermarkets,Keells Super,Moneragala,535.49,5.99
2023-01-25,Transportation,Ports & Shipping,John Keells Logistics,Puttalam,794.93,2.18
2023-11-06,Retail,Supermarkets,Keells Super,Batticaloa,232.14,9.5
2023-02-28,Retail,Supermarkets,Keells Super,Matale,761.85,3.72
2023-01-10,Transportation,Logistics,John Keells Logistics,Kegalle,961.58,13.79
2023-10-05,Transportation,Logistics,South Asia Gateway Terminals,Kilinochchi,516.23,19.15
2023-08-31,Property,Property Management,John Keells Properties,Trincomalee,602.42,13.72
2023-11-11,Retail,Supermarkets,Keells Super,Trincomalee,1180.82,12.75
2023-09-12,Property,Property Development,John Keells Properties,Hambantota,471.83,12.81
2023-07-04,Plantation Services,Rubber Plantations,Keells Plantations,Gampaha,482.21,1.35
2023-03-25,Leisure,Destination Management,Walkers Tours,Kegalle,521.09,3.18
2023-12-29,Financial Services,Banking,Nations Trust Bank,Gampaha,994.22,15.64
2023-06-22,Retail,Supermarkets,Keells Super,Kilinochchi,147.2,3.69
2023-05-20,Financial Services,Insurance,Nations Trust Bank,Hambantota,414.05,13.56
2023-04-28,Information Technology,Business Process Outsourcing,John Keells IT,Kilinochchi,349.37,14.48
2023-02-24,Transportation,Logistics,South Asia Gateway Terminals,Matale,229.4,18.58
2023-08-17,Information Technology,Business Process Outsourcing,Infomate,Batticaloa,252.69,18.22
2023-05-31,Transportation,Logistics,John Keells Logistics,Jaffna,568.82,18.9
2023-10-24,Information Technology,Software Services,Infomate,Mullaitivu,307.6,23.05
2023-10-27,Financial Services,Insurance,Nations Trust Bank,Batticaloa,422.15,15.05
2023-02-03,Information Technology,Business Process Outsourcing,Infomate,Puttalam,278.19,3.02
2023-06-26,Consumer Foods,Beverages,Keells Food Products,Colombo,1138.26,6.73
2023-09-06,Information Technology,Business Process Outsourcing,John Keells IT,Moneragala,415.06,18.79
2023-07-23,Information Technology,Software Services,John Keells IT,Galle,272.7,7.36
2023-12-07,Retail,Supermarkets,Keells Super,Gampaha,1184.49,15.62
2023-09-09,Financial Services,Insurance,Union Assurance,Ratnapura,713.09,13.64
